tanggal,judul,link
2020-11-23,[SALAH] Razia Masker Serentak di Seluruh Wilayah Indonesia dengan Denda Rp250.000,https://covid19.go.id/p/hoax-buster/salah-razia-masker-serentak-di-seluruh-wilayah-indonesia-dengan-denda-rp250000
2020-11-22,[SALAH] Dana Bantuan Pemerintah Rp100 Ribu untuk Pelanggan Setia Telekomunikasi Selular Indonesia,https://covid19.go.id/p/hoax-buster/salah-dana-bantuan-pemerintah-rp100-ribu-untuk-pelanggan-setia-telekomunikasi-selular-indonesia
2020-11-21,[SALAH] Presentase Bunuh Diri Naik 200% Selama Lockdown,https://covid19.go.id/p/hoax-buster/salah-presentase-bunuh-diri-naik-200-selama-lockdown
2020-11-20,"[SALAH] “Akibat Suntik Vaksin dari Cina , Masyarakat Zimbabwe Terkena Penyakit Kulit Ber Air.”",https://covid19.go.id/p/hoax-buster/salah-akibat-suntik-vaksin-dari-cina-masyarakat-zimbabwe-terkena-penyakit-kulit-ber-air
2020-11-18,[SALAH] Menggunakan Masker Sebabkan Infeksi Staph,https://covid19.go.id/p/hoax-buster/salah-menggunakan-masker-sebabkan-infeksi-staph
2020-11-14,[SALAH] Video Pemusik dan Penyanyi Dunia dari Berbagai Agama Menyanyikan Asmaul Husna di Selandia Baru untuk Memohon Berhentinya Wabah COVID-19,https://covid19.go.id/p/hoax-buster/salah-video-pemusik-dan-penyanyi-dunia-dari-berbagai-agama-menyanyikan-asmaul-husna-di-selandia-baru-untuk-memohon-berhentinya-wabah-covid-19
2020-11-14,"[SALAH] Video “Gak pakai masker di Singapura, ditangkap”",https://covid19.go.id/p/hoax-buster/salah-video-gak-pakai-masker-di-singapura-ditangkap
2020-11-11,"[SALAH] “Di Tanya soal virus Corona KORLAP FPI: Hanya Imam Besar kami yg punya Penangkal virus Corona, karna Imam besar kami cucu Nabi”",https://covid19.go.id/p/hoax-buster/salah-di-tanya-soal-virus-corona-korlap-fpi-hanya-imam-besar-kami-yg-punya-penangkal-virus-corona-karna-imam-besar-kami-cucu-nabi
2020-11-11,[SALAH] Luhut Positif Covid-19 dan Dilarikan ke RS Militer,https://covid19.go.id/p/hoax-buster/salah-luhut-positif-covid-19-dan-dilarikan-ke-rs-militer
2020-11-10,[SALAH] Formulir Online untuk Banpres Produktif oleh Kementerian Koperasi dan UKM,https://covid19.go.id/p/hoax-buster/salah-formulir-online-untuk-banpres-produktif-oleh-kementerian-koperasi-dan-ukm
2020-11-09,[SALAH] 48 Orang di Korea Selatan Meninggal Setelah Disuntik Vaksin COVID-19,https://covid19.go.id/p/hoax-buster/salah-48-orang-di-korea-selatan-meninggal-setelah-disuntik-vaksin-covid-19
2020-11-09,[SALAH] “Jenazah pasien yang ‘katanya’ kena kopit di Probolinggo setelah dibuka ternyata kedua bola matanya sudah tidak ada”,https://covid19.go.id/p/hoax-buster/salah-jenazah-pasien-yang-katanya-kena-kopit-di-probolinggo-setelah-dibuka-ternyata-kedua-bola-matanya-sudah-tidak-ada
2020-11-09,[SALAH] Kisah Dokter yang Kekasihnya Positif Covid-19 di Italia,https://covid19.go.id/p/hoax-buster/salah-kisah-dokter-yang-kekasihnya-positif-covid-19-di-italia
2020-11-06,[SALAH] Krisis Ekonomi di Perancis Disebabkan oleh Pemboikotan Produk Perancis,https://covid19.go.id/p/hoax-buster/salah-krisis-ekonomi-di-perancis-disebabkan-oleh-pemboikotan-produk-perancis
2020-11-05,[SALAH] Pesan Berantai ‘India Is Doing It’ Bisa Retas Ponsel,https://covid19.go.id/p/hoax-buster/salah-pesan-berantai-india-doing-it-bisa-retas-ponsel
2020-11-04,[SALAH] “Akun Instagram BPJAMSOSTEK @info.bpjstku dan situs kemenaker-info[dot]crayon[dot]world”,https://covid19.go.id/p/hoax-buster/salah-akun-instagram-bpjamsostek-infobpjstku-dan-situs-kemenaker-infodotcrayondotworld
2020-11-03,[SALAH] BPOM Halangi Vaksin yang akan Diberikan,https://covid19.go.id/p/hoax-buster/salah-bpom-halangi-vaksin-yang-akan-diberikan
2020-11-02,[SALAH] Pemerintah Berikan Bantuan Internet Gratis Selama Pandemi Covid-19,https://covid19.go.id/p/hoax-buster/salah-pemerintah-berikan-bantuan-internet-gratis-selama-pandemi-covid-19
2020-10-29,[SALAH] Voucher Undian Alfamart 21 Tahun,https://covid19.go.id/p/hoax-buster/salah-voucher-undian-alfamart-21-tahun
2020-10-28,[SALAH] Presiden Jokowi Menjadi Dokter,https://covid19.go.id/p/hoax-buster/salah-presiden-jokowi-menjadi-dokter
2020-10-27,[SALAH] Pesan Pembuatan Grup WhatsApp tentang Virus COVID-19 oleh Sekjen Kemenkes,https://covid19.go.id/p/hoax-buster/salah-pesan-pembuatan-grup-whatsapp-tentang-virus-covid-19-oleh-sekjen-kemenkes
2020-10-27,[SALAH] Kawasan Johor Baru Malaysia Terdampak Ekonomi Pandemi Covid-19,https://covid19.go.id/p/hoax-buster/salah-kawasan-johor-baru-malaysia-terdampak-ekonomi-pandemi-covid-19
2020-10-25,[SALAH] Pandemi Telah Berakhir dan Covid-19 Adalah Flu Biasa,https://covid19.go.id/p/hoax-buster/salah-pandemi-telah-berakhir-dan-covid-19-adalah-flu-biasa
2020-10-24,Awas Hoaks! - Formulir Online Palsu Pengajuan Banpres Produktif Usaha Mikro,https://covid19.go.id/p/hoax-buster/awas-hoaks-formulir-online-palsu-pengajuan-banpres-produktif-usaha-mikro
